year,CityName,AIRSNeedCategory,contact_count,population,contacts_per_10000
2024,Trenton,Other Government/Economic Services,11,16770.0,6.55933214072749
2024,Trenton,Transportation,5,16770.0,2.981514609421586
2024,Trenton,Unknown,4,16770.0,2.385211687537269
2024,Trenton,Utility Assistance,11,16770.0,6.55933214072749
2024,Trenton,Volunteers/Donations,2,16770.0,1.1926058437686344
2024,Winnipeg,"Arts, Culture and Recreation",72,850260.0,0.8467998024133795
2024,Winnipeg,Citizenship/Immigration,110,850260.0,1.2937219203537742
2024,Winnipeg,Community Services,266,850260.0,3.1284548255827627
2024,Winnipeg,Consumer Services,124,850260.0,1.458377437489709
2024,Winnipeg,Disaster,33,850260.0,0.38811657610613226
2024,Winnipeg,Education,22,850260.0,0.25874438407075484
2024,Winnipeg,Employment,144,850260.0,1.693599604826759
2024,Winnipeg,Food/Meals,636,850260.0,7.480064921318186
2024,Winnipeg,Health,547,850260.0,6.433326276668313
2024,Winnipeg,Housing,1123,850260.0,13.20772469597535
2024,Winnipeg,Income Support/Financial Assistance,328,850260.0,3.8576435443276176
2024,Winnipeg,Individual/Family Services,803,850260.0,9.44417001858255
2024,Winnipeg,Information Services,881,850260.0,10.361536471197045
2024,Winnipeg,Legal/Public Safety,451,850260.0,5.304259873450474
2024,Winnipeg,Mental Health/Substance Use Disorders,1093,850260.0,12.854891444969775
2024,Winnipeg,Other Government/Economic Services,128,850260.0,1.505421870957119
2024,Winnipeg,Transportation,153,850260.0,1.7994495801284311
2024,Winnipeg,Unknown,520,850260.0,6.115776350763296
2024,Winnipeg,Utility Assistance,151,850260.0,1.7759273633947261
2024,Winnipeg,Volunteers/Donations,214,850260.0,2.5168771905064338
2024,Yellowknife,Community Services,1,20340.0,0.4916420845624386
2024,Yellowknife,Consumer Services,1,20340.0,0.4916420845624386
2024,Yellowknife,Food/Meals,1,20340.0,0.4916420845624386
2024,Yellowknife,Health,1,20340.0,0.4916420845624386
2024,Yellowknife,Housing,2,20340.0,0.9832841691248771
2024,Yellowknife,Income Support/Financial Assistance,2,20340.0,0.9832841691248771
2024,Yellowknife,Individual/Family Services,3,20340.0,1.4749262536873156
2024,Yellowknife,Information Services,7,20340.0,3.4414945919370696
2024,Yellowknife,Legal/Public Safety,6,20340.0,2.949852507374631
2024,Yellowknife,Mental Health/Substance Use Disorders,4,20340.0,1.9665683382497543
2024,Yellowknife,Utility Assistance,1,20340.0,0.4916420845624386
2025,Alert Bay,Legal/Public Safety,1,,
2025,Borden,Mental Health/Substance Use Disorders,1,,
2025,Cold Lake,Citizenship/Immigration,1,,
2025,Cold Lake,Community Services,5,,
2025,Cold Lake,Consumer Services,5,,
2025,Cold Lake,Disaster,2,,
2025,Cold Lake,Education,1,,
2025,Cold Lake,Employment,2,,
2025,Cold Lake,Food/Meals,10,,
2025,Cold Lake,Health,11,,
2025,Cold Lake,Housing,41,,
2025,Cold Lake,Income Support/Financial Assistance,56,,
2025,Cold Lake,Individual/Family Services,11,,
2025,Cold Lake,Information Services,23,,
2025,Cold Lake,Legal/Public Safety,16,,
2025,Cold Lake,Mental Health/Substance Use Disorders,33,,
2025,Cold Lake,Other Government/Economic Services,6,,
2025,Cold Lake,Transportation,3,,
2025,Cold Lake,Unknown,6,,
2025,Cold Lake,Utility Assistance,3,,
2025,Cold Lake,Volunteers/Donations,1,,
2025,Comox,Community Services,1,,
2025,Comox,Consumer Services,6,,
2025,Comox,Employment,1,,
2025,Comox,Food/Meals,3,,
2025,Comox,Health,7,,
2025,Comox,Housing,18,,
2025,Comox,Income Support/Financial Assistance,1,,
2025,Comox,Individual/Family Services,9,,
2025,Comox,Information Services,5,,
2025,Comox,Legal/Public Safety,25,,
2025,Comox,Mental Health/Substance Use Disorders,27,,
2025,Comox,Other Government/Economic Services,4,,
2025,Comox,Transportation,2,,
2025,Edmonton,"Arts, Culture and Recreation",430,1200000.0,3.5833333333333335
2025,Edmonton,Citizenship/Immigration,335,1200000.0,2.7916666666666665
2025,Edmonton,Community Services,1538,1200000.0,12.816666666666666
2025,Edmonton,Consumer Services,777,1200000.0,6.475
2025,Edmonton,Disaster,68,1200000.0,0.5666666666666667
2025,Edmonton,Education,265,1200000.0,2.208333333333333
2025,Edmonton,Employment,936,1200000.0,7.8
2025,Edmonton,Food/Meals,2250,1200000.0,18.75
2025,Edmonton,Health,2112,1200000.0,17.6
2025,Edmonton,Housing,8738,1200000.0,72.81666666666666
2025,Edmonton,Income Support/Financial Assistance,6642,1200000.0,55.35
2025,Edmonton,Individual/Family Services,4620,1200000.0,38.5
2025,Edmonton,Information Services,4566,1200000.0,38.05
2025,Edmonton,Legal/Public Safety,5127,1200000.0,42.725
2025,Edmonton,Mental Health/Substance Use Disorders,10469,1200000.0,87.24166666666666
2025,Edmonton,Other Government/Economic Services,1373,1200000.0,11.441666666666666
2025,Edmonton,Transportation,15881,1200000.0,132.34166666666667
2025,Edmonton,Unknown,937,1200000.0,7.808333333333334
2025,Edmonton,Utility Assistance,576,1200000.0,4.8
2025,Edmonton,Volunteers/Donations,425,1200000.0,3.541666666666667
2025,Esquimalt,Community Services,1,19512.0,0.5125051250512505
